alphanumeric,name,normaldist,currency,guid,name2,name1,numberrange
P4G6Z1,12,64399,1920.11,B99B8BA0-A273-A3A8-6F35-7A3B9178B65D,James,Gould,14
F1T4B3,2,77260,2796.66,437C7693-8C5B-D972-18EC-553879EBB410,Samson,Vaughan,18
W6G8J5,9,60995,1578.41,643CDCD9-B779-28C6-DA75-54373BC79BE6,Finn,Todd,9
N5E2F7,6,87746,3648.81,F62CF532-79C2-AF5A-6DEA-39615DCBEB6F,Troy,Barker,26
D0P6G0,2,82228,4763.66,2B4D8E77-3052-EA36-79B4-A27AADE57B4B,Cedric,Strong,12
I2H1Z3,2,65297,2219.40,C2843B69-9BCC-717A-7C68-A5722B9B08B0,Quinlan,Holloway,7
F5B3T2,14,75403,2925.31,3B5BBC2B-CBF6-B1A0-246F-A1189EAA3074,Murphy,Mcintosh,19
Y5W8H1,8,55703,3484.86,9577FA8D-1B07-055B-88C1-366E64DDD6C9,Emery,Hull,22
X4R4I4,1,55137,4313.88,41BA5DC0-CA64-9061-3BD9-562B67C3C815,Wylie,Calderon,27
Y8I6R8,17,79845,3389.72,29DAC23B-80D5-5CC4-2262-DA7EC43BD3C5,Andrew,Roberts,30
N4V3E7,7,59818,3172.53,ABCE1E94-F3DF-76BD-1875-19091650A94B,Xenos,Santiago,26
W0N5M9,13,57741,4686.41,783CB614-C9AA-F730-B764-CB6B57DA44E0,Logan,Hoover,27
B2E6X8,3,54767,2396.14,2EE12D51-D31B-7F35-334F-6613E820E6D8,Addison,Everett,28
S0G3M2,1,85842,1735.25,65D13161-3BA4-4228-9A6A-D8611B23075E,Coby,Hubbard,13
K1W6K9,15,57311,3787.14,245E24C5-8D96-B6E9-93B8-32C832156EB5,Brennan,Rutledge,27
I7N2E3,18,62398,3623.38,9229CA91-5254-8984-FB9D-F9B3936185EA,Quamar,Snider,17
A9G3D4,13,53817,4258.07,122C521E-0E59-6C0E-3E9C-6A621AB33785,Grant,Frederick,8
Q1F5Q1,8,79615,1576.14,1620EDD2-5A7E-2929-F457-ED33827BDDA3,Ethan,Key,17
T0T8T3,5,70694,1554.72,3EB9D6D8-0862-D3BD-4828-941EBFD807D7,Norman,Lindsay,18
K8E2Y1,3,84770,4235.94,1B434D69-9680-65F2-3CDF-8172E01CE61D,Alan,Skinner,26
P5B4E4,19,64017,2943.83,BD9E6526-BB90-33F2-15A6-F177313AA23E,Joseph,Kirkland,13
C2E6I5,14,55572,3055.36,4974B2CB-E60C-AC9D-86E0-826CDB58E3D9,Oren,Mcpherson,24
T0Q8Q7,20,87737,3062.35,6A9A9174-ADFB-B142-076F-A841F9585329,Walker,Rosario,12
K7E7H5,19,77000,4867.87,A2EC8D75-6387-AD74-849E-FF74185B3464,Channing,Best,26
