NombreEmpleado,TelefonoEmpleado,NumeroCuenta,Empresa,Comision,NumeroTarjeta,EmpresaTarjeta,VencimientoTarjeta,SaldoGastos
Catalina Acuña Calzada,+34727 59 66 20,ES7888382077808273246757,GlobalSoft,0.06,6543045869801734,Banco Sur,02/29,11426.06
Macarena Joaquina Giner Blasco,+34897 328 052,ES6323751974473062184000,InnovaCorp,0.07,3511610572157610,Banco Sur,02/28,34790.11
Rosa María Castillo,+34729183210,ES2229289746987828693694,CyberNet,0.1,3529860182297856,Banco Atlántico,08/30,39401.89
Dominga Rosado Neira,+34 713 890 283,ES0616555436918225689942,NextGen,0.09,4642580429833228,Banco Andino,12/34,4655.82
Lino de Ibarra,+34705065656,ES8064418998813320963623,BlueWave,0.12,3529953450967092,Banco Digital,06/27,23230.64
Paz Carina Oliva Company,+34742 541 840,ES2571001885097799031659,NextGen,0.09,4879647171788375344,Banco del Plata,09/33,37847.7
Calisto del Luján,+34701 211 077,ES2005076306100142771184,FutureLink,0.08,676227256416,Banco Atlántico,12/33,13727.36
Marc Sans Castilla,+34614 31 87 98,ES2109953209443125725380,TechNova,0.05,4545207802413331,Banco del Plata,09/27,39393.96
Chuy Aureliano Blanca Cañellas,+34 708673783,ES6320723864950056329201,FutureLink,0.08,4269230211078945,Banco Central,03/30,23294.08
Adrián Carranza-Vicente,+34987 731 853,ES2853486224385860207302,DataWorks,0.04,3519263925536999,Banco Patagonico,01/31,44698.69
Xavier Perea Montalbán,+34737 18 59 21,ES4679899814968853122299,AlphaSystems,0.11,3536998160638898,Banco Rio,06/27,49443.14
Zacarías Pozo Canals,+34849 815 247,ES5031960258863766519865,AlphaSystems,0.11,588666147958,Banco Rio,07/35,14411.46
Rosa María Moya Díez,+34722184545,ES5855528399886310727648,AlphaSystems,0.11,3516708860782753,Banco Andino,08/32,2122.03
Toni Tirado Franco,+34 702 49 78 12,ES4116781908499988120731,NextGen,0.09,30135878094729,Banco Andino,05/26,40057.94
Hilario Andreu Barranco,+34 847 929 693,ES6065323072371526745739,AlphaSystems,0.11,4458103675663166,Banco Sur,05/29,2939.04
Guiomar Casals Calvet,+34604 44 03 91,ES8973205946174923465220,VisionWare,0.03,4979403944094,Banco Nacional,06/28,17753.44
María Pilar Iniesta-Blanco,+34 805 57 19 84,ES3904807981336692031027,TechNova,0.05,564168650757,Banco Nacional,03/29,26181.23
Mirta Sans Tomás,+34746296959,ES7934973543385771053206,AlphaSystems,0.11,349060810507818,Banco Patagonico,07/33,36987.98
Victoria Montesinos-Mesa,+34 644 77 34 20,ES2558039585956831715018,TechNova,0.05,4975676895534,Banco Sur,08/31,6225.76
Cipriano de Arnal,+34712598872,ES6564615285030547192006,InnovaCorp,0.07,213164335149586,Banco Atlántico,03/34,5624.69
Renato Bosch Viña,+34745 325 227,ES5800659449593953767286,BlueWave,0.12,4597139240908,Banco Nacional,01/28,21287.27
Adolfo Zaragoza Diaz,+34 848 47 18 35,ES0751167234710933118482,InnovaCorp,0.07,3597245292521337,Banco Nacional,05/28,19528.84
Cloe Pozuelo Barrera,+34 628 61 95 27,ES9396526283373702163138,GlobalSoft,0.06,213171786793028,Banco Nacional,10/32,9763.63
Silvia Manrique Pulido,+34650 84 52 54,ES9521749744507648378713,InnovaCorp,0.07,4505677716161074445,Banco Sur,05/27,27316.93
Ligia Roldán Puga,+34727007539,ES4037769602071306117634,TechNova,0.05,6558922976387736,Banco Nacional,06/32,38575.9
Feliciana Puerta-Sanabria,+34714983622,ES6185715928066622845509,TechNova,0.05,4635285693605883518,Banco Rio,07/30,9074.35
Brunilda Pol Carrillo,+34 894947094,ES3107839854778371756371,BlueWave,0.12,4440699994730256,Banco Atlántico,09/28,37197.42
Teresa Jerez Noriega,+34 890046334,ES4243889549071752560403,BlueWave,0.12,3589782572418123,Banco Ficticio,10/28,25963.73
Amado Ángel Castejón,+34 736 072 692,ES3057807846469724010958,CyberNet,0.1,213144638030279,Banco Digital,08/34,34151.41
Lalo Rojas-Colomer,+34 914269212,ES1891539314259823922432,TechNova,0.05,4675193405862,Banco del Plata,08/32,46940.09
Catalina Espejo,+34 706382817,ES4879759515385698533404,CyberNet,0.1,4636419862301344,Banco Nacional,09/34,17751.75
Rita Gisela Zamora Palomar,+34 685 181 804,ES2804491410518379972732,CyberNet,0.1,213173343482350,Banco Rio,11/26,18213.69
Gertrudis Bueno,+34 738 052 042,ES6916129236482762716557,VisionWare,0.03,503853605650,Banco Sur,06/29,26674.2
Fátima Domingo Guzmán,+34742 50 06 01,ES9109309522231153768443,VisionWare,0.03,573132899234,Banco Nacional,01/34,26895.13
Dan Girón-Vizcaíno,+34702 222 646,ES1381656765590401826770,DataWorks,0.04,213101485512262,Banco Patagonico,04/35,40440.16
Javi Castejón Goñi,+34 976074575,ES8107943172315591623682,NextGen,0.09,060462565999,Banco Ficticio,04/30,42257.19
